result_schema_version,generated_at_utc,git_commit,git_dirty,project,mode,status,reason,run_dir,loc_c,c_function_count,c_parameter_count,c_pointer_parameter_count,c_pointer_parameter_density,c_cyclomatic_complexity_total,c_cyclomatic_complexity_average,unsupported_function_count,unsupported_construct_count,unsupported_constructs,analysis_backend,analysis_backend_reason,primary_function,primary_expected_eligibility,primary_plan_status,primary_eligible,primary_fully_safe_accepted,primary_outcome,target_functions,target_count,target_fully_safe_accepted_units,target_acceptance_rate,target_outcomes,total_units,eligible_units,candidate_safe_units,synthesis_supported_units,generated_units,compile_success_units,policy_safe_units,behaviorally_validated_units,fully_safe_accepted_units,fully_safe_translation_unit_acceptance_rate,eligibility_counts,candidate_decision_counts,synthesis_support_counts,role_outcome_counts,complete_project_policy_safe,complete_project_behaviorally_validated,idiom_success_counts,failure_categories,loc_rust_baseline,loc_rust_safemap,c2rust_compile,safemap_compile,c2rust_tests,safemap_tests,safemap_cargo_check_status,safemap_cargo_check_reason,safemap_cargo_test_status,safemap_cargo_test_reason,safemap_clippy_status,safemap_clippy_reason,safemap_differential_status,safemap_differential_reason,c_sanitizer_status,c_sanitizer_reason,validation_status_counts,c2rust_unsafe_blocks,safemap_unsafe_blocks,c2rust_raw_pointers,safemap_raw_pointers,clippy_warnings,miri_status,miri_reason,miri_passed,miri_failed,miri_diagnostics,differential_pass_rate,repair_attempts,llm_calls,llm_input_tokens,llm_output_tokens
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,allocation_factory,safemap_deterministic,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_deterministic/.safemap/runs/20260728T025723Z-allocation_factory-0f4a33b4,33,4,2,0,0.0,5,1.25,0,0,{},libclang,,,,,,,not_declared,"make_constant,make_owned,make_sequence",3,3,1.0,"{""accepted"": 3}",4,4,4,3,3,3,3,3,3,0.75,"{""safe_translatable_with_api_change"": 4}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 3, ""candidate_safe"": 3, ""compile_passed"": 3, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 3, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 3, ""planned"": 4}}",{},0,14,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,allocation_factory,safemap_without_pointer_roles,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_pointer_roles/.safemap/runs/20260728T025724Z-allocation_factory-453aacc1,33,4,2,0,0.0,5,1.25,0,0,{},libclang,,,,,,,not_declared,"make_constant,make_owned,make_sequence",3,3,1.0,"{""accepted"": 3}",4,4,4,3,3,3,3,3,3,0.75,"{""safe_translatable_with_api_change"": 4}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 3, ""candidate_safe"": 3, ""compile_passed"": 3, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 3, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 3, ""planned"": 4}}",{},0,14,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,allocation_factory,safemap_without_safe_signatures,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_safe_signatures/.safemap/runs/20260728T025726Z-allocation_factory-5e483a51,33,4,2,0,0.0,5,1.25,0,0,{},libclang,,,,,,,not_declared,"make_constant,make_owned,make_sequence",3,0,0.0,"{""not_accepted"": 3}",4,4,4,2,2,0,0,0,0,0.0,"{""safe_translatable_with_api_change"": 4}","{""candidate_safe"": 4}","{""implemented_support"": 2, ""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 3, ""compile_passed"": 0, ""generated"": 2, ""implemented_support"": 2, ""policy_safe"": 0, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 0, ""planned"": 4}}","{""validation_failed"": 2}",0,9,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,2,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,allocation_factory,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_dependency_grouping/.safemap/runs/20260728T025726Z-allocation_factory-6181d0cc,33,4,2,0,0.0,5,1.25,0,0,{},libclang,,,,,,,not_declared,"make_constant,make_owned,make_sequence",3,3,1.0,"{""accepted"": 3}",4,4,4,3,3,3,3,3,3,0.75,"{""safe_translatable_with_api_change"": 4}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 3, ""candidate_safe"": 3, ""compile_passed"": 3, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 3, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 3, ""planned"": 4}}",{},0,14,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,allocation_factory,safemap_without_idiom_plans,no_supported_synthesis,No output remained when the idiom plans component was disabled.,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_idiom_plans/.safemap/runs/20260728T025727Z-allocation_factory-160956c9,33,4,2,0,0.0,5,1.25,0,0,{},libclang,,,,,,,not_declared,"make_constant,make_owned,make_sequence",3,0,0.0,"{""not_accepted"": 3}",4,4,4,0,0,0,0,0,0,0.0,"{""safe_translatable_with_api_change"": 4}","{""candidate_safe"": 4}","{""not_implemented"": 4}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 3, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,{},{},0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,allocation_factory,safemap_without_validation_feedback,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_validation_feedback/.safemap/runs/20260728T025728Z-allocation_factory-056a904c,33,4,2,0,0.0,5,1.25,0,0,{},libclang,,,,,,,not_declared,"make_constant,make_owned,make_sequence",3,3,1.0,"{""accepted"": 3}",4,4,4,3,3,3,3,3,3,0.75,"{""safe_translatable_with_api_change"": 4}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 3, ""candidate_safe"": 3, ""compile_passed"": 3, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 3, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 3, ""planned"": 4}}",{},0,14,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,buffer_metrics,safemap_deterministic,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_deterministic/.safemap/runs/20260728T025729Z-buffer_metrics-a5af8dcd,28,4,6,3,0.5,8,2.0,0,0,{},libclang,,,,,,,not_declared,"add_offset,max_value,sum_values",3,3,1.0,"{""accepted"": 3}",4,4,4,3,3,3,3,3,3,0.75,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 3}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 3, ""candidate_safe"": 3, ""compile_passed"": 3, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 3, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 3, ""planned"": 3}}",{},0,15,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,buffer_metrics,safemap_without_pointer_roles,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_pointer_roles/.safemap/runs/20260728T025730Z-buffer_metrics-29f2bbf9,28,4,6,3,0.5,8,2.0,0,0,{},libclang,,,,,,,not_declared,"add_offset,max_value,sum_values",3,0,0.0,"{""not_accepted"": 3}",4,4,4,2,2,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 3}","{""candidate_safe"": 4}","{""implemented_support"": 2, ""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 3, ""compile_passed"": 0, ""generated"": 2, ""implemented_support"": 2, ""policy_safe"": 0, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 0, ""planned"": 3}}","{""validation_failed"": 2}",0,9,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,buffer_metrics,safemap_without_safe_signatures,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_safe_signatures/.safemap/runs/20260728T025730Z-buffer_metrics-9dbea0b3,28,4,6,3,0.5,8,2.0,0,0,{},libclang,,,,,,,not_declared,"add_offset,max_value,sum_values",3,0,0.0,"{""not_accepted"": 3}",4,4,4,3,3,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 3}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 3, ""compile_passed"": 0, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 0, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 0, ""planned"": 3}}","{""validation_failed"": 3}",0,15,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,3,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-07-28T02:57:23Z,361f548f6a773f261ea92c2484d58ae8fdd5a98e,True,buffer_metrics,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/development-case-study-component-ablations/safemap_without_dependency_grouping/.safemap/runs/20260728T025731Z-buffer_metrics-74e6a249,28,4,6,3,0.5,8,2.0,0,0,{},libclang,,,,,,,not_declared,"add_offset,max_value,sum_values",3,3,1.0,"{""accepted"": 3}",4,4,4,3,3,3,3,3,3,0.75,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 3}","{""candidate_safe"": 4}","{""implemented_support"": 3, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 3, ""candidate_safe"": 3, ""compile_passed"": 3, ""generated"": 3, ""implemented_support"": 3, ""policy_safe"": 3, ""total"": 3}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 3, ""planned"": 3}}",{},0,15,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
